PA,PB,PC,PD,PE,PF,PG,PH,PI,PAJ,PAA,PAB,PAC,PAD,PAE,PAF,PAG,PAH,PAI,PBJ,PBA,PBB,PBC,PBD,PBE,PBF,PBG,PBH,PBI,PCJ,PCA,PCB,PCC,PCD,PCE,PCF,PCG,PCH,PCI,PDJ,PDA,PDB,PDC,PDD,PDE,PDF,PDG,PDH,PDI,PEJ,PEA,PEB,PEC,PED,PEE,PEF,PEG,PEH,PEI,PFJ,PFA,PFB,PFC,PFD,PFE,PFF,PFG,PFH,PFI,PGJ,PGA,PGB,PGC,PGD,PGE,PGF,PGG,PGH,PGI,PHJ,PHA,PHB,PHC,PHD,PHE,PHF,PHG,PHH,PHI,PIJ,PIA,PIB,PIC,PID,PIE,PIF,PIG,PIH,PII,PAJJ
PB,PA,PD,PE,PF,PG,PH,PI,PAJ,PAA,PAB,PAC,PAD,PAE,PAF,PAG,PAH,PAI,PBJ,PBA,PBB,PBC,PBD,PBE,PBF,PBG,PBH,PBI,PCJ,PCA,PCB,PCC,PCD,PCE,PCF,PCG,PCH,PCI,PDJ,PDA,PDB,PDC,PDD,PDE,PDF,PDG,PDH,PDI,PEJ,PEA,PEB,PEC,PED,PEE,PEF,PEG,PEH,PEI,PFJ,PFA,PFB,PFC,PFD,PFE,PFF,PFG,PFH,PFI,PGJ,PGA,PGB,PGC,PGD,PGE,PGF,PGG,PGH,PGI,PHJ,PHA,PHB,PHC,PHD,PHE,PHF,PHG,PHH,PHI,PIJ,PIA,PIB,PIC,PID,PIE,PIF,PIG,PIH,PII,PAJJ,PAJA
PC,PD,PE,PF,PG,PH,PI,PAJ,PAA,PAB,PAC,PAD,PAE,PAF,PAG,PAH,PAI,PBJ,PBA,PBB,PBC,PBD,PBE,PBF,PBG,PBH,PBI,PCJ,PCA,PCB,PCC,PCD,PCE,PCF,PCG,PCH,PCI,PDJ,PDA,PDB,PDC,PDD,PDE,PDF,PDG,PDH,PDI,PEJ,PEA,PEB,PEC,PED,PEE,PEF,PEG,PEH,PEI,PFJ,PFA,PFB,PFC,PFD,PFE,PFF,PFG,PFH,PFI,PGJ,PGA,PGB,PGC,PGD,PGE,PGF,PGG,PGH,PGI,PHJ,PHA,PHB,PHC,PHD,PHE,PHF,PHG,PHH,PHI,PIJ,PIA,PIB,PIC,PID,PIE,PIF,PIG,PIH,PII,PAJJ,PAJA,PAJB
PD,PE,PF,PG,PH,PI,PAJ,PAA,PAB,PAC,PAD,PAE,PAF,PAG,PAH,PAI,PBJ,PBA,PBB,PBC,PBD,PBE,PBF,PBG,PBH,PBI,PCJ,PCA,PCB,PCC,PCD,PCE,PCF,PCG,PCH,PCI,PDJ,PDA,PDB,PDC,PDD,PDE,PDF,PDG,PDH,PDI,PEJ,PEA,PEB,PEC,PED,PEE,PEF,PEG,PEH,PEI,PFJ,PFA,PFB,PFC,PFD,PFE,PFF,PFG,PFH,PFI,PGJ,PGA,PGB,PGC,PGD,PGE,PGF,PGG,PGH,PGI,PHJ,PHA,PHB,PHC,PHD,PHE,PHF,PHG,PHH,PHI,PIJ,PIA,PIB,PIC,PID,PIE,PIF,PIG,PIH,PII,PAJJ,PAJA,PAJB,PAJC
PE,PF,PG,PH,PI,PAJ,PAA,PAB,PAC,PAD,PAE,PAF,PAG,PAH,PAI,PBJ,PBA,PBB,PBC,PBD,PBE,PBF,PBG,PBH,PBI,PCJ,PCA,PCB,PCC,PCD,PCE,PCF,PCG,PCH,PCI,PDJ,PDA,PDB,PDC,PDD,PDE,PDF,PDG,PDH,PDI,PEJ,PEA,PEB,PEC,PED,PEE,PEF,PEG,PEH,PEI,PFJ,PFA,PFB,PFC,PFD,PFE,PFF,PFG,PFH,PFI,PGJ,PGA,PGB,PGC,PGD,PGE,PGF,PGG,PGH,PGI,PHJ,PHA,PHB,PHC,PHD,PHE,PHF,PHG,PHH,PHI,PIJ,PIA,PIB,PIC,PID,PIE,PIF,PIG,PIH,PII,PAJJ,PAJA,PAJB,PAJC,PAJD
PF,PG,PH,PI,PAJ,PAA,PAB,PAC,PAD,PAE,PAF,PAG,PAH,PAI,PBJ,PBA,PBB,PBC,PBD,PBE,PBF,PBG,PBH,PBI,PCJ,PCA,PCB,PCC,PCD,PCE,PCF,PCG,PCH,PCI,PDJ,PDA,PDB,PDC,PDD,PDE,PDF,PDG,PDH,PDI,PEJ,PEA,PEB,PEC,PED,PEE,PEF,PEG,PEH,PEI,PFJ,PFA,PFB,PFC,PFD,PFE,PFF,PFG,PFH,PFI,PGJ,PGA,PGB,PGC,PGD,PGE,PGF,PGG,PGH,PGI,PHJ,PHA,PHB,PHC,PHD,PHE,PHF,PHG,PHH,PHI,PIJ,PIA,PIB,PIC,PID,PIE,PIF,PIG,PIH,PII,PAJJ,PAJA,PAJB,PAJC,PAJD,PAJE
PG,PH,PI,PAJ,PAA,PAB,PAC,PAD,PAE,PAF,PAG,PAH,PAI,PBJ,PBA,PBB,PBC,PBD,PBE,PBF,PBG,PBH,PBI,PCJ,PCA,PCB,PCC,PCD,PCE,PCF,PCG,PCH,PCI,PDJ,PDA,PDB,PDC,PDD,PDE,PDF,PDG,PDH,PDI,PEJ,PEA,PEB,PEC,PED,PEE,PEF,PEG,PEH,PEI,PFJ,PFA,PFB,PFC,PFD,PFE,PFF,PFG,PFH,PFI,PGJ,PGA,PGB,PGC,PGD,PGE,PGF,PGG,PGH,PGI,PHJ,PHA,PHB,PHC,PHD,PHE,PHF,PHG,PHH,PHI,PIJ,PIA,PIB,PIC,PID,PIE,PIF,PIG,PIH,PII,PAJJ,PAJA,PAJB,PAJC,PAJD,PAJE,PAJF
PH,PI,PAJ,PAA,PAB,PAC,PAD,PAE,PAF,PAG,PAH,PAI,PBJ,PBA,PBB,PBC,PBD,PBE,PBF,PBG,PBH,PBI,PCJ,PCA,PCB,PCC,PCD,PCE,PCF,PCG,PCH,PCI,PDJ,PDA,PDB,PDC,PDD,PDE,PDF,PDG,PDH,PDI,PEJ,PEA,PEB,PEC,PED,PEE,PEF,PEG,PEH,PEI,PFJ,PFA,PFB,PFC,PFD,PFE,PFF,PFG,PFH,PFI,PGJ,PGA,PGB,PGC,PGD,PGE,PGF,PGG,PGH,PGI,PHJ,PHA,PHB,PHC,PHD,PHE,PHF,PHG,PHH,PHI,PIJ,PIA,PIB,PIC,PID,PIE,PIF,PIG,PIH,PII,PAJJ,PAJA,PAJB,PAJC,PAJD,PAJE,PAJF,PAJG
PI,PAJ,PAA,PAB,PAC,PAD,PAE,PAF,PAG,PAH,PAI,PBJ,PBA,PBB,PBC,PBD,PBE,PBF,PBG,PBH,PBI,PCJ,PCA,PCB,PCC,PCD,PCE,PCF,PCG,PCH,PCI,PDJ,PDA,PDB,PDC,PDD,PDE,PDF,PDG,PDH,PDI,PEJ,PEA,PEB,PEC,PED,PEE,PEF,PEG,PEH,PEI,PFJ,PFA,PFB,PFC,PFD,PFE,PFF,PFG,PFH,PFI,PGJ,PGA,PGB,PGC,PGD,PGE,PGF,PGG,PGH,PGI,PHJ,PHA,PHB,PHC,PHD,PHE,PHF,PHG,PHH,PHI,PIJ,PIA,PIB,PIC,PID,PIE,PIF,PIG,PIH,PII,PAJJ,PAJA,PAJB,PAJC,PAJD,PAJE,PAJF,PAJG,PAJH
PAJ,PAA,PAB,PAC,PAD,PAE,PAF,PAG,PAH,PAI,PBJ,PBA,PBB,PBC,PBD,PBE,PBF,PBG,PBH,PBI,PCJ,PCA,PCB,PCC,PCD,PCE,PCF,PCG,PCH,PCI,PDJ,PDA,PDB,PDC,PDD,PDE,PDF,PDG,PDH,PDI,PEJ,PEA,PEB,PEC,PED,PEE,PEF,PEG,PEH,PEI,PFJ,PFA,PFB,PFC,PFD,PFE,PFF,PFG,PFH,PFI,PGJ,PGA,PGB,PGC,PGD,PGE,PGF,PGG,PGH,PGI,PHJ,PHA,PHB,PHC,PHD,PHE,PHF,PHG,PHH,PHI,PIJ,PIA,PIB,PIC,PID,PIE,PIF,PIG,PIH,PII,PAJJ,PAJA,PAJB,PAJC,PAJD,PAJE,PAJF,PAJG,PAJH,PAJI
PAA,PAB,PAC,PAD,PAE,PAF,PAG,PAH,PAI,PBJ,PBA,PBB,PBC,PBD,PBE,PBF,PBG,PBH,PBI,PCJ,PCA,PCB,PCC,PCD,PCE,PCF,PCG,PCH,PCI,PDJ,PDA,PDB,PDC,PDD,PDE,PDF,PDG,PDH,PDI,PEJ,PEA,PEB,PEC,PED,PEE,PEF,PEG,PEH,PEI,PFJ,PFA,PFB,PFC,PFD,PFE,PFF,PFG,PFH,PFI,PGJ,PGA,PGB,PGC,PGD,PGE,PGF,PGG,PGH,PGI,PHJ,PHA,PHB,PHC,PHD,PHE,PHF,PHG,PHH,PHI,PIJ,PIA,PIB,PIC,PID,PIE,PIF,PIG,PIH,PII,PAJJ,PAJA,PAJB,PAJC,PAJD,PAJE,PAJF,PAJG,PAJH,PAJI,PAAJ
